0.011,0.083,0.115,0.070,0.101,0.061
4.303,10.686,12.867,9.652,12.542,9.317
4.114,12.447,14.511,11.563,13.082,10.641
3.252,6.921,8.438,6.389,8.670,6.360
93.217,160.696,159.382,171.769,162.109,169.817
91.690,64.237,56.670,67.410,55.697,67.867
0.015,0.079,0.073,0.067,0.090,0.064
0.045,0.008,0.063,0.020,0.035,0.016
5.926,3.761,8.579,5.432,7.408,5.118
10.618,3.481,11.600,5.973,7.675,5.046
3.307,2.813,5.282,3.744,5.348,3.725
152.677,54.543,158.104,128.438,169.252,87.842
88.473,93.787,74.057,85.490,75.367,87.073
0.039,0.013,0.028,0.019,0.027,0.017
0.159,0.088,0.044,0.080,0.047,0.075
11.513,8.829,6.808,8.932,7.886,8.468
19.662,14.516,9.915,13.494,9.633,13.159
5.545,4.963,4.342,5.172,5.232,5.199
172.306,174.231,196.919,166.514,153.551,174.129
69.923,75.660,81.253,74.057,74.947,74.750
0.046,0.033,0.015,0.033,0.025,0.029
0.041,0.034,0.095,0.013,0.080,0.014
6.095,5.705,10.785,4.759,10.192,4.934
9.819,8.876,13.936,4.534,12.544,4.646
3.662,3.554,6.464,3.484,6.498,3.688
153.783,140.629,186.432,89.433,168.986,118.826
86.450,87.497,65.893,88.520,66.567,87.987
0.040,0.125,0.073,0.015,0.146,0.016
0.100,0.062,0.051,0.090,0.019,0.070
10.125,8.160,7.529,9.999,5.882,8.980
14.870,11.478,10.587,13.792,5.373,11.978
5.356,4.706,4.651,5.799,4.475,5.504
168.554,160.428,151.233,168.721,130.110,165.033
72.130,76.840,79.200,70.030,82.753,72.573
0.230,0.127,0.020,0.223,0.018,0.142
