0.123,0.022,0.038,0.028,0.043,0.028
12.397,6.419,8.150,7.043,8.435,7.010
15.841,5.678,7.658,6.560,8.354,6.519
7.021,4.942,6.162,5.331,6.238,5.302
153.774,58.532,121.273,147.427,147.742,120.332
63.340,79.390,70.527,76.570,69.690,77.027
0.072,0.011,0.026,0.031,0.028,0.018
8.230,4.495,6.169,6.047,6.490,5.328
12.906,4.064,6.857,8.033,7.122,5.636
4.420,3.476,4.465,3.909,4.702,3.976
136.601,70.125,140.255,143.278,128.794,138.792
79.947,90.803,81.757,84.420,80.053,86.537
0.050,0.012,0.035,0.023,0.027,0.033
6.363,3.802,6.398,5.062,5.776,5.469
11.132,4.857,8.483,6.885,7.343,8.742
3.314,2.687,4.138,3.303,3.902,3.306
164.846,113.794,137.011,141.184,165.308,162.352
86.557,94.500,82.713,88.747,84.790,88.320
0.037,0.012,0.028,0.023,0.016,0.013
5.261,3.553,5.380,4.640,4.789,3.965
9.652,5.171,7.823,7.280,5.508,5.283
2.804,2.443,3.393,2.863,3.324,2.743
145.378,88.646,145.066,176.507,130.552,161.200
90.640,96.110,87.950,91.157,89.153,93.293
